Time, Torque, Angle
0.50975,0.15091555,0
0.51175004,0.14627199,0
0.51375,0.14627199,0
0.51574904,0.14162844,0
0.51775,0.14162844,0
0.51974905,0.13930666,0
0.52175003,0.14162844,0
0.52375,0.14395021,0
0.52575004,0.14627199,0
0.52775,0.14859378,0
0.52975,0.14859378,0
0.53175,0.14162844,0
0.53375,0.14395021,0
0.53575003,0.14162844,0
0.53775,0.13930666,0
0.53975004,0.14395021,0
0.54175,0.14627199,0
0.54375005,0.14859378,0
0.54575,0.15091555,0
0.54775,0.14627199,0
0.54975003,0.14395021,0
0.55175,0.14162844,0
0.55375004,0.13930666,0
0.55575,0.13698487,0
0.55775005,0.13698487,0
0.55975,0.14162844,0
0.56175,0.13698487,0
0.56375,0.13930666,0
0.56575,0.13234133,0
0.56775004,0.125376,0
0.56975,0.125376,0
0.57175004,0.12769777,0
0.57375,0.13001955,0
0.57575,0.13001955,0
0.57775,0.13466309,0
0.57975,0.13234133,0
0.58175004,0.13001955,0
0.58375,0.125376,0
0.58575004,0.12073244,0
0.58775,0.12073244,0
0.58975,0.12305422,0
0.59175,0.12305422,0
0.59375,0.125376,0
0.59575003,0.13001955,0
0.59775,0.12769777,0
0.59975004,0.125376,0
0.60175,0.12073244,0
0.60375,0.12073244,0
0.60575,0.12305422,0
0.60775,0.125376,0
0.60975003,0.12769777,0
0.61175,0.12769777,0
0.61375004,0.12769777,0
0.61575,0.125376,0
0.61775,0.125376,0
0.61975,0.12073244,0
0.62175,0.125376,0
0.62375003,0.12305422,0
0.62575,0.12769777,0
0.62775004,0.13001955,0
0.62975,0.12769777,0
0.63175005,0.125376,0
0.63375,0.12769777,0
0.63575,0.12769777,0
0.63775,0.12305422,0
0.63975,0.13234133,0
0.64175004,0.13234133,0
0.64375,0.13930666,0
0.64575005,0.13698487,0
0.64775,0.14162844,0
0.64975,0.13930666,0
0.65175,0.14395021,0
0.65375,0.14627199,0
0.65575004,0.15323733,0
0.65775,0.15788089,0
0.65975004,0.16484621,0
0.66175,0.16484621,0
0.66375,0.16716799,0
0.66575,0.17181155,0
0.66775,0.17413333,0
0.66975003,0.17877686,0
0.67175,0.17413333,0
0.67375004,0.18109865,0
0.67575,0.18342043,0
